trial_number,f1_score,f1,precision,recall,specificity,roc_auc,accuracy,loss,true_positives_tp,false_positives_fp,false_negatives_fn,true_negatives_tn,runtime_sec,samples_per_sec,threshold,encoder_lr,head_lr,label_smoothing_factor,weight_decay
27,0.9592061742006616,,,,,,,,,,,,,,,1.9759414163017007e-05,0.00014062743762621526,0.03470924791417341,0.0017534602364191205
28,0.9762419006479481,,,,,,,,,,,,,,,1.1246686120679066e-05,0.0004735559525823347,0.0628507322534276,0.042547572695029005
29,0.9773462783171522,,,,,,,,,,,,,,,6.815312764400108e-06,0.000346398954036809,0.13604871223911363,0.07082632598659702
30,0.9525909592061742,,,,,,,,,,,,,,,1.3156893619514162e-06,0.0006723952535574558,0.11863397685197749,0.0002557983142247714
31,0.9817400644468314,0.9817400644468314,0.9934782608695653,0.970276008492569,0.9936170212765958,0.9968243212720783,0.9819341126461212,0.16657324135303497,457,3,14,467,2798.534635707998,1.3449896070511738,0.5,3.995826424140433e-06,0.0008803906818171359,0.054268941132855686,0.03791292617163967
32,0.9617486338797814,,,,,,,,,,,,,,,2.1361262311193797e-06,0.0006687117844702946,0.10749659695277643,0.029582054679402708
33,0.9762419006479481,,,,,,,,,,,,,,,1.0278842400367657e-05,0.00033746792377555636,0.007962840633557988,0.000289929723672167
34,0.9752953813104189,,,,,,,,,,,,,,,2.4365704503388113e-06,0.00017131656737950793,0.09271709078559266,0.029642160733672762
35,0.9729144095341279,,,,,,,,,,,,,,,3.2921808970172376e-06,0.0009419698130446925,0.005425189669449312,1.1974744136188025e-05
36,0.9662676822633297,,,,,,,,,,,,,,,2.134527044672131e-06,0.00045130497470368335,0.053727202033436935,0.07305453269023021
37,0.974304068522484,,,,,,,,,,,,,,,3.033859168372628e-06,1.4522115032020392e-05,0.0356100597276546,0.04754874285408878
38,0.9806451612903225,0.9806451612903225,0.9934640522875817,0.9681528662420382,0.9936170212765958,0.9973031576094321,0.9808714133900106,0.09047504514455795,456,3,15,467,1124.0067907089979,3.348734216833116,0.5,9.161251540724613e-06,0.00012162906615856525,0.0008272202198752929,1.2250272914175327e-05
39,0.9773462783171522,,,,,,,,,,,,,,,6.690253537398615e-06,0.000468727121816687,0.07488155572964283,0.05633602578481546
40,0.9696312364425163,,,,,,,,,,,,,,,1.4297324228152167e-05,0.0002408715376723918,0.0010662755752415137,0.00020215374436026275
41,0.9827586206896551,0.9827586206896551,0.9978118161925602,0.9681528662420382,0.997872340425532,0.9964855219767809,0.9829968119022316,0.3069861829280853,456,1,15,469,2855.2069797909935,1.318293218894951,0.5,2.514805971690208e-05,0.0009694205371697706,0.1589628882419574,0.03216585626148254
42,0.9417040358744395,,,,,,,,,,,,,,,4.2238792678235216e-05,0.0007652459465464968,0.17425057724902931,0.00947006589765275
43,0.9849462365591398,0.9849462365591398,0.9978213507625272,0.9723991507430998,0.997872340425532,0.995898269864932,0.9851222104144527,0.3263401687145233,458,1,13,469,1508.2787234999996,2.4955599660423116,0.5,1.5686860390475915e-05,0.0008071443156118534,0.18213669887452094,0.052547061798996195
44,0.9741379310344828,,,,,,,,,,,,,,,2.4917297968622502e-05,0.0007127067425771971,0.19684922572462873,0.03364589657742257
45,0.9751351351351352,,,,,,,,,,,,,,,8.676509918279716e-06,0.0004083734859870125,0.17761417709977687,0.08337514746846168
46,0.974025974025974,,,,,,,,,,,,,,,2.4204131343193666e-05,0.0009208863713814654,0.12891921544934903,0.09484858286340209
47,0.9762931034482759,,,,,,,,,,,,,,,9.14569434391517e-06,0.00086755772953196,0.17943758033309395,0.03075211940708508
48,0.9796791443850268,0.9796791443850268,0.9870689655172413,0.9723991507430998,0.9872340425531915,0.9947328002891087,0.9798087141339001,0.3208155930042267,458,6,13,464,1156.7807996669944,3.2538576029992483,0.5,4.0184190213756516e-05,0.00017297341175202008,0.16320780245642288,0.07709323169884742
49,0.9641693811074918,,,,,,,,,,,,,,,1.0680726831352456e-06,1.2109729095467647e-05,0.19025657112845432,1.2217131417381546e-05
