trial_number,f1_score,f1,precision,recall,specificity,roc_auc,accuracy,loss,true_positives_tp,false_positives_fp,false_negatives_fn,true_negatives_tn,runtime_sec,samples_per_sec,threshold,encoder_lr,head_lr,label_smoothing_factor,weight_decay
0,0.9265658747300216,0.9265658747300216,0.9428571428571428,0.910828025477707,0.9446808510638298,0.9735420336992365,0.9277364505844846,0.41271260380744934,429,26,42,444,1551.7749415409999,2.425609474181956,0.5,4.667266493279466e-05,9.601925200499018e-05,0.18689767899352147,3.773952772546373e-05
1,0.9135021097046413,0.9135021097046413,0.9077568134171907,0.9193205944798302,0.9063829787234042,0.9617111623074491,0.9128586609989373,0.44136500358581543,433,44,38,426,1618.3494816250002,2.325826431643511,0.5,4.949112460105462e-06,5.773981230982648e-05,0.19817718995194092,0.004533402132300893
2,0.8767123287671232,0.8767123287671232,0.8702928870292888,0.8832271762208068,0.8680851063829788,0.9428061616298505,0.8756641870350691,0.4724547564983368,416,62,55,408,2383.045913834,1.5794911789778445,0.5,3.2050047940851883e-06,1.549483552192034e-05,0.19476060850312915,0.015019481966123441
3,0.8699271592091571,0.8699271592091571,0.8530612244897959,0.8874734607218684,0.8468085106382979,0.9416587613497764,0.8671625929861849,0.4838477373123169,418,72,53,398,2778.0607774170003,1.3549019627640082,0.5,1.0428514502396947e-06,9.267287315827914e-05,0.19528157676813698,0.0004939021899555288
4,0.7190146266358738,0.7190146266358738,0.5640096618357487,0.9915074309978769,0.23191489361702128,0.8421669602927225,0.61211477151966,0.6486421823501587,467,361,4,109,2897.1129782499993,1.2992244445619252,0.5,3.381515146976835e-05,1.1774877266670177e-05,0.18324408115678426,0.002766837675251492
5,0.9285714285714286,0.9285714285714286,0.9470198675496688,0.910828025477707,0.948936170212766,0.9734336179247415,0.9298618490967057,0.26741814613342285,429,24,42,446,2925.174820708,1.2867607000285108,0.5,3.677451336238467e-05,0.00026457205691425865,0.031286968863391995,0.027768391951071038
6,0.8577405857740585,0.8577405857740585,0.845360824742268,0.8704883227176221,0.8404255319148937,0.9313637800966709,0.8554729011689692,0.3418864905834198,410,75,61,395,2828.890701458002,1.3305568850928196,0.5,1.0470923340238925e-06,4.449540557625243e-05,0.00314348506066906,0.018004345757920776
7,0.8717413972888426,0.8717413972888426,0.8565573770491803,0.8874734607218684,0.851063829787234,0.9390025748746442,0.869287991498406,0.4892597198486328,418,70,53,400,2150.7737554580017,1.7500678490464776,0.5,1.1854247581131828e-06,4.3424399179389355e-05,0.1981847377434491,0.005729556820288952
8,0.923728813559322,0.923728813559322,0.9217758985200846,0.9256900212314225,0.9212765957446809,0.9631002394181686,0.9234856535600425,0.3113824725151062,436,37,35,433,2045.905554208999,1.8397721205929574,0.5,1.543949908149901e-05,1.0192589227178597e-05,0.003925759410113994,0.022302283186174894
9,0.8886532343584306,0.8886532343584306,0.8877118644067796,0.8895966029723992,0.8872340425531915,0.950444956407824,0.8884165781083954,0.3924289047718048,419,53,52,417,2835.4925900000017,1.3274589442675981,0.5,4.459041968234198e-06,2.697802620495277e-05,0.09300183583963662,5.1038074649782126e-05
10,0.7638603696098563,,,,,,,,,,,,,,,2.528428991867656e-05,0.0002893868427669627,0.06676095221899377,0.053824927236716925
11,0.7713097713097713,,,,,,,,,,,,,,,4.938519719588798e-05,0.0003255738050003866,0.17945291404691519,3.85790277034701e-05
12,0.0,,,,,,,,,,,,,,,3.588386283913939e-05,3.662720901289907e-05,0.18400301942258854,3.102084549015579e-05
13,0.7709750566893424,,,,,,,,,,,,,,,2.8664835092506348e-05,0.0004735015748166933,0.020928244022534938,0.0019961910064467893
14,0.9171974522292994,0.9171974522292994,0.9171974522292994,0.9171974522292994,0.9170212765957447,0.9670190179337761,0.9171094580233794,0.3986187279224396,432,39,39,431,2379.3610672920004,1.5819372905365243,0.5,8.363752060118134e-06,0.00014698767925807387,0.15329692795258487,3.1679972827887846e-05
15,0.8457389428263214,0.8457389428263214,0.8596491228070176,0.832271762208068,0.8638297872340426,0.9232054930659079,0.8480340063761955,0.6639997959136963,392,64,79,406,1757.3102184999989,2.14190981215193,0.5,3.0962273300378496e-05,7.303934231052279e-05,0.0780824827193375,0.0005109828180021504
16,0.714177407126611,,,,,,,,,,,,,,,1.262252842963409e-05,0.00012920261654603563,0.017401252952113366,0.04354769594160414
17,0.894141829393628,0.894141829393628,0.8665338645418327,0.9235668789808917,0.8574468085106383,0.9577991597777478,0.8905419766206164,0.38168731331825256,435,67,36,403,2847.693923250001,1.321771265257413,0.5,2.4137492795237505e-06,0.0008185867555737282,0.10188898240267985,0.015664629265194886
18,0.0,,,,,,,,,,,,,,,4.548591508489602e-05,8.44604393596057e-05,0.034573769632640916,0.007402699846822827
19,0.9326086956521739,0.9326086956521739,0.955456570155902,0.910828025477707,0.9574468085106383,0.9787234042553191,0.9341126461211477,0.2613122761249542,429,20,42,450,2755.904218083,1.365794926870945,0.5,2.371903568696678e-05,0.0008570413766989055,0.004888509526985968,0.09532720645559424
