trial_number,f1_score,f1,precision,recall,specificity,roc_auc,accuracy,loss,true_positives_tp,false_positives_fp,false_negatives_fn,true_negatives_tn,runtime_sec,samples_per_sec,threshold,encoder_lr,head_lr,label_smoothing_factor,weight_decay
0,0.9037037037037037,0.9037037037037037,0.9008438818565401,0.9065817409766455,0.9,0.9625333152640375,0.9032943676939427,0.37097102403640747,427,47,44,423,1547.537198458,2.43225171178472,0.5,5.849934573652014e-06,4.5978544281488666e-05,0.09820987900413242,4.634492945903647e-05
1,0.9353448275862069,0.9353448275862069,0.949671772428884,0.921443736730361,0.951063829787234,0.9779509418620409,0.9362380446333688,0.38652491569519043,434,23,37,447,1820.999261625,2.0669969940795747,0.5,3.694992366357335e-05,0.0005053458587045139,0.18110185921586847,0.0012156822802792016
2,0.9243876464323749,0.9243876464323749,0.9273504273504274,0.921443736730361,0.9276595744680851,0.9713082170122419,0.924548352816153,0.37160947918891907,434,34,37,436,1668.6111509999996,2.2557682164261172,0.5,1.30002091653781e-05,8.877352808397347e-05,0.1219474759813012,0.010996827843116312
3,0.9272529858849077,0.9272529858849077,0.9488888888888889,0.9065817409766455,0.951063829787234,0.974151872430772,0.9287991498405951,0.3819999098777771,427,23,44,447,2552.6852414999994,1.4745257028979462,0.5,4.3459557289813524e-05,1.025181711946568e-05,0.13704564857010185,0.03396245091885566
4,0.8950159066808059,0.8950159066808059,0.8940677966101694,0.8959660297239915,0.8936170212765957,0.9563490987938745,0.8947927736450585,0.37034252285957336,422,50,49,420,2557.4192157919997,1.4717962455108626,0.5,5.270622587783031e-06,2.0114066718473822e-05,0.07693187939126829,0.003468929475566644
5,0.9279661016949152,0.9279661016949152,0.9260042283298098,0.9299363057324841,0.925531914893617,0.967425577088133,0.9277364505844846,0.37538066506385803,438,35,33,435,2538.658557042001,1.4826728035398917,0.5,1.1269607427452833e-05,0.00017840267974831385,0.13126372303637435,6.584426982443243e-05
6,0.8921465968586387,0.8921465968586387,0.8801652892561983,0.9044585987261147,0.8765957446808511,0.953489632741564,0.8905419766206164,0.4139940142631531,426,58,45,412,1975.371442583999,1.9054644199352613,0.5,1.6019541481887642e-06,0.000216424909658476,0.12696454298633778,0.00023920529817506077
7,0.9230769230769231,0.9230769230769231,0.9290322580645162,0.9171974522292994,0.9297872340425531,0.9727605366580838,0.9234856535600425,0.37691637873649597,432,33,39,437,2253.4095364999994,1.6703577130707687,0.5,1.3987338887728865e-05,0.0008673118988678966,0.1408920611078616,0.0006560537845826063
8,0.9340540540540541,0.9340540540540541,0.9515418502202643,0.9171974522292994,0.9531914893617022,0.9797307674933369,0.9351753453772582,0.36466604471206665,432,22,39,448,1505.2540299579996,2.5005746040786385,0.5,2.0786944070896057e-05,0.0008509034755367488,0.14350977220240999,0.009143963821561737
9,0.881283422459893,0.881283422459893,0.8879310344827587,0.8747346072186837,0.8893617021276595,0.9495640782400506,0.8820403825717322,0.32172587513923645,412,52,59,418,1501.9171267500024,2.5061302870584594,0.5,2.9164174504939326e-06,4.4863513991148804e-05,0.01667178725312617,0.006904235082597124
10,0.783484390735146,,,,,,,,,,,,,,,3.332331088727249e-05,0.0009401642440096099,0.19906932029680757,1.236849481330999e-05
11,0.7719665271966527,,,,,,,,,,,,,,,3.660382210217442e-05,0.0005289076686008616,0.08924582551554047,0.06427601384233395
12,0.8480176211453745,,,,,,,,,,,,,,,2.8763267726270853e-05,0.0007002333046180823,0.18798336256815346,0.016593143464735515
13,0.7766990291262136,,,,,,,,,,,,,,,4.920613866133823e-05,0.00016555910186231927,0.14752857168978437,0.0003133031040152408
14,0.781414994720169,,,,,,,,,,,,,,,4.9961898100803725e-05,8.825154748848577e-05,0.18604801710551808,0.025574510411136942
15,0.6562942008486563,,,,,,,,,,,,,,,5.2830342691814605e-06,0.0006414285581770031,0.08524531503075489,0.0060467302578378
16,0.9164021164021164,,,,,,,,,,,,,,,4.317841762183722e-06,0.0007810441716118015,0.17211987754354233,0.010097583525562472
17,0.8648648648648649,,,,,,,,,,,,,,,7.457526727315504e-06,0.00015133079633319798,0.19691680036838072,0.001931284093837839
18,0.7725409836065574,,,,,,,,,,,,,,,4.314492757547419e-05,0.0005213106335200236,0.1855354835172332,0.0005835057592084468
19,0.9258861439312567,0.9258861439312567,0.9369565217391305,0.9150743099787686,0.9382978723404255,0.9711162307449067,0.926673751328374,0.2745773196220398,431,29,40,441,1550.400239167,2.427760203405492,0.5,1.112975633459448e-05,0.00043557205250700803,0.02538102573014582,2.476381678683849e-05
20,0.8713692946058091,,,,,,,,,,,,,,,1.433900280790524e-06,0.00023892179007420692,0.032585632094917175,2.195088293969892e-05
21,0.9232386961093586,,,,,,,,,,,,,,,1.1809309226255814e-05,0.00013374738770028402,0.1447680179204362,0.00019417800120838857
22,0.7677824267782427,,,,,,,,,,,,,,,2.625691360187352e-05,0.0003834703764887656,0.12588435974117418,0.005316032019021404
23,0.8584795321637427,,,,,,,,,,,,,,,5.655407230527868e-06,0.0005229152279273643,0.13839488879036982,1.1222119348596898e-05
24,0.7786116322701688,,,,,,,,,,,,,,,3.2422861671937926e-05,0.0001224368941332354,0.06895579050533357,5.047938112284607e-05
25,0.935064935064935,0.935064935064935,0.9536423841059603,0.9171974522292994,0.9553191489361702,0.9764331210191083,0.9362380446333688,0.3674478828907013,432,21,39,449,2063.6538217080015,1.8239493273560252,0.5,2.4204708184300838e-05,2.199713990592466e-05,0.13344471144260595,0.00019711771822035335
26,0.0,,,,,,,,,,,,,,,3.8895031968840606e-05,2.3841273885462654e-05,0.116413547220802,0.0004274733810001012
27,0.9141630901287554,,,,,,,,,,,,,,,1.3174696422028337e-05,2.0116984140496962e-05,0.1854910515840972,0.00019456989423428416
28,0.7301204819277108,,,,,,,,,,,,,,,3.2917142929991507e-06,1.0631841690224705e-05,0.18337890605443044,0.00120773557735343
29,0.880184331797235,,,,,,,,,,,,,,,1.6814443637923884e-05,1.913648834595647e-05,0.13842894020274532,3.584135949002641e-05
30,0.717357910906298,,,,,,,,,,,,,,,2.7605520640651787e-05,1.8809569123922823e-05,0.038670556021869244,0.00012550949514891164
31,0.7335092348284961,,,,,,,,,,,,,,,4.454114808744192e-06,8.922674982495168e-05,0.11835404259395144,5.307273385493949e-05
32,0.9254054054054054,0.9254054054054054,0.9427312775330396,0.9087048832271762,0.9446808510638298,0.9757916610200118,0.926673751328374,0.3574574887752533,428,26,43,444,2262.427152832999,1.6636999760574565,0.5,2.0225615145075805e-05,0.0009408404268046595,0.1258002785792789,0.013753740649534735
33,0.7578125,,,,,,,,,,,,,,,1.0511126272204854e-05,0.00017203540968017622,0.10948354827704562,3.382613825148034e-05
34,0.8745603751465416,,,,,,,,,,,,,,,2.1706534726999637e-05,0.00023063485331468455,0.16628941003433687,0.0015889409463296345
35,0.6671388101983002,,,,,,,,,,,,,,,4.709623679781705e-05,4.119575672111173e-05,0.055158919958881336,0.06276443221624971
36,0.7848537005163512,,,,,,,,,,,,,,,8.076855587178537e-06,1.6875103240210553e-05,0.13054749162405097,0.0003669673309273619
37,0.7165775401069518,,,,,,,,,,,,,,,1.7769156826014508e-05,9.546025575453474e-05,0.1504572390147903,4.015330360624541e-05
38,0.43305785123966944,,,,,,,,,,,,,,,3.938621737019791e-05,2.179368777484693e-05,0.19080700828582786,5.8931416109961946e-05
39,0.7790575916230367,,,,,,,,,,,,,,,1.5655586080695915e-05,0.00042797353730794337,0.18180375386151992,0.0033103753995485144
40,0.5225505443234837,,,,,,,,,,,,,,,1.4739232592822635e-06,4.609749193288533e-05,0.09691781435178685,0.005638432422805996
41,0.7172774869109948,,,,,,,,,,,,,,,1.431919683004222e-05,1.0808844773677052e-05,0.11481011761767164,0.03134926372552382
42,0.0,,,,,,,,,,,,,,,4.355971648914287e-05,2.2581596298494546e-05,0.10884116835753338,0.0453317699927526
43,0.07346938775510205,,,,,,,,,,,,,,,3.317307963463056e-05,1.0777772828169876e-05,0.19752580901218253,0.01542337443385181
44,0.9261300992282249,0.9261300992282249,0.963302752293578,0.89171974522293,0.9659574468085106,0.9791209287618016,0.9287991498405951,0.39342570304870605,420,16,51,454,2803.395271500005,1.342657611741639,0.5,4.634470376034121e-05,1.6765469421568006e-05,0.15230011973235597,0.08776203086811185
45,0.7888138862102217,,,,,,,,,,,,,,,3.5265826106359916e-05,0.0007173938652101705,0.14263876357750965,0.0014549076898812024
46,0.8767441860465116,,,,,,,,,,,,,,,1.353143759514724e-05,0.0005026596461714292,0.1920268081465321,0.00017907109505557446
47,0.768713204373423,,,,,,,,,,,,,,,5.9926781485716085e-06,2.353121895839189e-05,0.06779487068705481,1.9381801923314912e-05
48,0.7461224489795918,,,,,,,,,,,,,,,1.8023163939756925e-05,1.3731798329753429e-05,0.1314317886509239,0.002161547707979213
49,0.7057220708446866,,,,,,,,,,,,,,,1.1661610760180384e-05,0.0007356023951561972,0.10057419057256713,0.00020322490190660415
